state,district,url,2016_republican_candidate,2016_republican_pct,2016_republican_votes,2014_republican_candidate,2014_republican_pct,2014_republican_votes,2014_democratic_candidate,2014_democratic_pct,2014_democratic_votes,2012_republican_candidate,2012_republican_pct,2012_republican_votes,2024_republican_candidate,2024_republican_pct,2024_republican_votes,2024_democratic_candidate,2024_democratic_pct,2024_democratic_votes,2022_republican_candidate,2022_republican_pct,2022_republican_votes,2022_libertarian_candidate,2022_libertarian_pct,2022_libertarian_votes,2020_republican_candidate,2020_republican_pct,2020_republican_votes,2020_democratic_candidate,2020_democratic_pct,2020_democratic_votes,2018_republican_candidate,2018_republican_pct,2018_republican_votes,2018_democratic_candidate,2018_democratic_pct,2018_democratic_votes,2016_democratic_candidate,2016_democratic_pct,2016_democratic_votes,2012_democratic_candidate,2012_democratic_pct,2012_democratic_votes,2022_democratic_candidate,2022_democratic_pct,2022_democratic_votes,2020_libertarian_candidate,2020_libertarian_pct,2020_libertarian_votes,2022_independent_candidate,2022_independent_pct,2022_independent_votes,2014_independent_candidate,2014_independent_pct,2014_independent_votes,2020_independent_candidate,2020_independent_pct,2020_independent_votes,2016_libertarian_candidate,2016_libertarian_pct,2016_libertarian_votes,2016_independent_candidate,2016_independent_pct,2016_independent_votes,2014_libertarian_candidate,2014_libertarian_pct,2014_libertarian_votes,2012_libertarian_candidate,2012_libertarian_pct,2012_libertarian_votes,2016_green_candidate,2016_green_pct,2016_green_votes,2024_independent_candidate,2024_independent_pct,2024_independent_votes,2024_green_candidate,2024_green_pct,2024_green_votes,2012_independent_candidate,2012_independent_pct,2012_independent_votes,2018_green_candidate,2018_green_pct,2018_green_votes,2012_green_candidate,2012_green_pct,2012_green_votes,2024_libertarian_candidate,2024_libertarian_pct,2024_libertarian_votes,2018_libertarian_candidate,2018_libertarian_pct,2018_libertarian_votes,2022_green_candidate,2022_green_pct,2022_green_votes,2018_independent_candidate,2018_independent_pct,2018_independent_votes,2014_green_candidate,2014_green_pct,2014_green_votes,2020_green_candidate,2020_green_pct,2020_green_votes,2012_conservative_candidate,2012_conservative_pct,2012_conservative_votes,2021_democratic_candidate,2021_democratic_pct,2021_democratic_votes,2024_conservative_candidate,2024_conservative_pct,2024_conservative_votes,2016_conservative_candidate,2016_conservative_pct,2016_conservative_votes,2021_republican_candidate,2021_republican_pct,2021_republican_votes,2021_independent_candidate,2021_independent_pct,2021_independent_votes,2021_libertarian_candidate,2021_libertarian_pct,2021_libertarian_votes,2014_conservative_candidate,2014_conservative_pct,2014_conservative_votes,2020_conservative_candidate,2020_conservative_pct,2020_conservative_votes,2022_conservative_candidate,2022_conservative_pct,2022_conservative_votes,2018_conservative_candidate,2018_conservative_pct,2018_conservative_votes,2019_republican_candidate,2019_republican_pct,2019_republican_votes,2019_democratic_candidate,2019_democratic_pct,2019_democratic_votes,2019_libertarian_candidate,2019_libertarian_pct,2019_libertarian_votes,2019_green_candidate,2019_green_pct,2019_green_votes,2023_democratic_candidate,2023_democratic_pct,2023_democratic_votes,2023_republican_candidate,2023_republican_pct,2023_republican_votes,2023_libertarian_candidate,2023_libertarian_pct,2023_libertarian_votes,2023_independent_candidate,2023_independent_pct,2023_independent_votes
Michigan,6,https://ballotpedia.org/Michigan's_6th_Congressional_District,Fred UptonIncumbent,58.6%,"193,259",Fred UptonIncumbent,55.9%,"116,801",Paul Clements,40.4%,"84,391",Fred UptonIncumbent,54.6%,"174,955",Heather Smiley(R),35.0,"158,658",Debbie Dingell(D),62.0,"281,162",Whittney Williams(R),34.1,"125,167",,,,Fred Upton(R),55.8,"211,496",Jon Hoadley(D),40.1,"152,085",Fred Upton(R),50.2,"147,436",Matt Longjohn(D),45.7,"134,082",Paul Clements,36.4%,"119,980",Mike O'Brien,42.6%,"136,563",Debbie Dingell(D),65.9,"241,759",Jeff DePoy(L),2.7,"10,399",,,,,,,Jerry Solis(Independent) (Write-in),0.1,560,Lorence Wenke,4.9%,"16,248",,,,Erwin Haas,2.6%,"5,530",Christie Gelineau,2%,"6,366",,,,,,,Clyde Shabazz(G),1.8,"7,963",,,,,,,,,,Bill Krebaum(L),1.2,"5,523",,,,,,,,,,John Lawrence,1.1%,"2,254",John Lawrence(G),1.2,"4,440",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,7,https://ballotpedia.org/Michigan's_7th_Congressional_District,Tim WalbergIncumbent,55.1%,"184,321",Tim WalbergIncumbent,53.5%,"119,564",Pam Byrnes,41.2%,"92,083",Tim WalbergIncumbent,53.3%,"169,668",Tom Barrett(R),50.3,"226,722",Curtis Hertel(D),46.6,"209,959",Tom Barrett(R),46.3,"172,624",L. Rachel Dailey(L),2.0,"7,275",Tim Walberg(R),58.8,"227,524",Gretchen Driskell(D),41.2,"159,743",Tim Walberg(R),53.8,"158,730",Gretchen Driskell(D),46.2,"136,330",Gretchen Driskell,40%,"134,010",Kurt R. Haskell,43%,"136,849",Elissa Slotkin(D),51.7,"192,809",,,,,,,David Swartout,2%,"4,369",,,,Ken Proctor,4.9%,"16,476",,,,Ken Proctor,2%,"4,531",Ken Proctor,2.5%,"8,088",,,,,,,,,,,,,,,,Richard Wunsch,1.1%,"3,464",L. Rachel Dailey(L),3.2,"14,231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,8,https://ballotpedia.org/Michigan's_8th_Congressional_District,Mike BishopIncumbent,56%,"205,629",Mike Bishop,54.6%,"132,739",Eric Schertzing,42.1%,"102,269",Mike RogersIncumbent,58.6%,"202,217",Paul Junge(R),44.6,"189,317",Kristen McDonald Rivet(D),51.3,"217,490",Paul Junge(R),42.8,"143,850",David Canny(L),1.4,"4,580",Paul Junge(R),47.3,"202,525",Elissa Slotkin(D),50.9,"217,922",Mike Bishop(R),46.8,"159,782",Elissa Slotkin(D),50.6,"172,880",Suzanna Shkreli,39.2%,"143,791",Lance Enderle,37.3%,"128,657",Dan Kildee(D),53.1,"178,322",Joe Hartman(L),1.8,"7,897",,,,,,,,,,Jeff Wood,2.6%,"9,619",,,,James Weeks II,1.9%,"4,557",Daniel Goebel,2.3%,"8,083",Maria Green,1.5%,"5,679",,,,Jim Casha(G),0.4,"1,602",Preston Brooks,1.8%,"6,097",,,,,,,Steve Barcelo(L),1.1,"4,768",Brian Ellison(L),1.8,"6,302",,,,,,,Jim Casha,0.8%,"1,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,9,https://ballotpedia.org/Michigan's_9th_Congressional_District,Christopher Morse,37.4%,"128,937",George Brikho,36.1%,"81,470",Sander LevinIncumbent,60.4%,"136,342",Don Volaric,34%,"114,760",Lisa McClain(R),66.8,"312,593",Clinton St. Mosley(D),29.5,"138,138",Lisa McClain(R),63.9,"238,300",Jacob Kelts(L),1.2,"4,349",Charles Langworthy(R),38.4,"153,296",Andy Levin(D),57.7,"230,318",Candius Stearns(R),36.8,"112,123",Andy Levin(D),59.7,"181,734",Sander LevinIncumbent,57.9%,"199,661",Sander LevinIncumbent,61.9%,"208,846",Brian Steven Jaye(D),33.2,"123,702",Mike Saliba(L),1.6,"6,532",,,,,,,Douglas Troszak(Independent) (Write-in),0.0,1,Matthew Orlando,2.8%,"9,563",,,,Gregory Creswell,2.1%,"4,792",Jim Fulner,1.8%,"6,100",John McDermott,1.9%,"6,614",,,,,,,,,,John McDermott(G),1.3,"3,909",Julia Williams,1.4%,"4,708",Kevin Vayko(L),1.1,"5,338",,,,,,,,,,John McDermott,1.4%,"3,153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,1,https://ballotpedia.org/Minnesota's_1st_Congressional_District,Jim Hagedorn,49.6%,"166,526",Jim Hagedorn,45.7%,"103,536",Tim WalzIncumbent,54.2%,"122,851",Allen Quist,42.3%,"142,164",Brad Finstad(R),58.5,"220,929",Rachel Bohman(D),41.4,"156,375",Brad Finstad(R),53.8,"159,621",,,,Jim Hagedorn(R),48.6,"179,234",Dan Feehan(D),45.5,"167,890",Jim Hagedorn(R),50.1,"146,200",Dan Feehan(D),49.7,"144,885",Tim WalzIncumbent,50.3%,"169,074",Tim WalzIncumbent,57.5%,"193,211",Jeff Ettinger(D),42.3,"125,457",,,,Garth Coughlin Weir(Independent) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,2,https://ballotpedia.org/Minnesota's_2nd_Congressional_District,Jason Lewis,47%,"173,970",John KlineIncumbent,56%,"137,778",Mike Obermueller,38.9%,"95,565",John KlineIncumbent,54%,"193,587",Joe Teirab(R),42.1,"175,621",Angie Craig(D),55.5,"231,751",Tyler Kistner(R),45.6,"148,576",,,,Tyler Kistner(R),45.9,"194,954",Angie Craig(D),48.2,"204,534",Jason Lewis(R),47.1,"159,344",Angie Craig(D),52.7,"177,958",Angie Craig,45.2%,"167,315",Mike Obermueller,45.8%,"164,338",Angie Craig(D),50.9,"165,583",,,,,,,,,,,,,,,,Paula Overby,7.8%,"28,869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Bowman(Conservative Party)(Unofficially withdrew),2.3,"9,492",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,3,https://ballotpedia.org/Minnesota's_3rd_Congressional_District,Erik PaulsenIncumbent,56.7%,"223,077",Erik PaulsenIncumbent,62.1%,"167,515",Sharon Sund,37.8%,"101,846",Erik PaulsenIncumbent,58.1%,"222,335",Tad Jude(R),41.5,"170,427",Kelly Morrison(D),58.4,"240,209",Tom Weiler(R),40.4,"134,797",,,,Kendall Qualls(R),44.3,"196,625",Dean Phillips(D),55.6,"246,666",Erik Paulsen(R),44.2,"160,839",Dean Phillips(D),55.6,"202,404",Terri Bonoff,43%,"169,243",Brian Barnes,41.8%,"159,937",Dean Phillips(D),59.6,"198,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,4,https://ballotpedia.org/Minnesota's_4th_Congressional_District,Greg Ryan,34.4%,"121,032",Sharna Wahlgren,32.9%,"79,492",Betty McCollumIncumbent,61.2%,"147,857",Tony Hernandez,31.5%,"109,659",May Lor Xiong(R),32.6,"117,618",Betty McCollum(D),67.3,"242,802",May Lor Xiong(R),32.3,"95,493",,,,Gene Rechtzigel(R),29.0,"112,730",Betty McCollum(D),63.2,"245,813",Greg Ryan(R),29.7,"97,747",Betty McCollum(D),66.0,"216,865",Betty McCollumIncumbent,57.8%,"203,299",Betty McCollumIncumbent,62.3%,"216,685",Betty McCollum(D),67.6,"200,055",,,,Diane Peterson(Independent) (Write-in),0.0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,5,https://ballotpedia.org/Minnesota's_5th_Congressional_District,Frank Drake,22.3%,"80,660",Doug Daggett,24%,"56,577",Keith EllisonIncumbent,70.8%,"167,079",Chris Fields,25.2%,"88,753",Dalia al-Aqidi(R),24.6,"86,213",Ilhan Omar(D),74.4,"261,066",Cicely Davis(R),24.5,"70,702",,,,Lacy Johnson(R),25.8,"102,878",Ilhan Omar(D),64.3,"255,924",Jennifer Zielinski(R),21.7,"74,440",Ilhan Omar(D),78.0,"267,703",Keith EllisonIncumbent,69.1%,"249,964",Keith EllisonIncumbent,74.5%,"262,102",Ilhan Omar(D),74.3,"214,224",,,,,,,,,,Ervan Katari Miller(Independent) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toya Woodland(G) (Write-in),0.0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,6,https://ballotpedia.org/Minnesota's_6th_Congressional_District,Tom EmmerIncumbent,65.6%,"235,380",Tom Emmer,56.3%,"133,328",Joe Perske,38.4%,"90,926",Michele BachmannIncumbent,50.5%,"179,240",Tom Emmer(R),62.4,"260,095",Jeanne Hendricks(D),37.4,"155,836",Tom Emmer(R),62.0,"198,145",,,,Tom Emmer(R),65.7,"270,901",Tawnja Zahradka(D),34.2,"140,853",Tom Emmer(R),61.1,"192,931",Ian Todd(D),38.7,"122,332",David Snyder,34.3%,"123,008",Jim Graves,49.3%,"174,944",Jeanne Hendricks(D),37.8,"120,852",,,,Todd Stenberg(Independent) (Write-in),0.1,334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,7,https://ballotpedia.org/Minnesota's_7th_Congressional_District,Dave Hughes,47.4%,"156,952",Torrey Westrom,45.7%,"109,955",Collin PetersonIncumbent,54.2%,"130,546",Lee Byberg,34.8%,"114,151",Michelle Fischbach(R),70.4,"275,098",A. John Peters(D),29.4,"114,979",Michelle Fischbach(R),66.9,"204,766",,,,Michelle Fischbach(R),53.4,"194,066",Collin Peterson(D),39.8,"144,840",Dave Hughes(R),47.8,"134,668",Collin Peterson(D),52.1,"146,672",Collin PetersonIncumbent,52.5%,"173,589",Collin PetersonIncumbent,60.4%,"197,791",Jill Abahsain(D),27.6,"84,455",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,8,https://ballotpedia.org/Minnesota's_8th_Congressional_District,Stewart Mills,49.6%,"177,089",Stewart Mills,47.1%,"125,358",Rick NolanIncumbent,48.5%,"129,090",Chip CravaackIncumbent,45.4%,"160,520",Pete Stauber(R),58.0,"244,498",Jennifer Schultz(D),41.9,"176,724",Pete Stauber(R),57.2,"188,755",,,,Pete Stauber(R),56.8,"223,432",Quinn Nystrom(D),37.6,"147,853",Pete Stauber(R),50.7,"159,364",Joe Radinovich(D),45.2,"141,950",Rick NolanIncumbent,50.2%,"179,098",Rick Nolan,54.3%,"191,976",Jennifer Schultz(D),42.7,"141,009",,,,,,,,,,David Pipho(Independent) (Write-in),0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Skip Sandman,4.3%,"11,450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1,https://ballotpedia.org/Mississippi's_1st_Congressional_District,Trent KellyIncumbent,68.7%,"206,455",Alan NunneleeIncumbent,67.9%,"102,622",Ron Dickey,28.9%,"43,713",Alan NunneleeIncumbent,60.4%,"186,760",Trent Kelly(R),69.8,"223,589",Dianne Black(D),30.2,"96,697",Trent Kelly(R),73.0,"122,151",,,,Trent Kelly(R),68.7,"228,787",Antonia Eliason(D),31.3,"104,008",Trent Kelly(R),66.9,"158,245",Randy Wadkins(D),32.4,"76,601",Jacob Owens,27.9%,"83,947",Brad Morris,36.9%,"114,076",Dianne Black(D),27.0,"45,238",,,,,,,,,,,,,Chase Wilson,2.1%,"6,181",,,,Danny Bedwell,2.5%,"3,830",Danny Bedwell,1.2%,"3,584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,2,https://ballotpedia.org/Mississippi's_2nd_Congressional_District,John Bouie II,29.1%,"83,542",,,,Bennie ThompsonIncumbent,67.7%,"100,688",Bill Marcy,31%,"99,160",Ron Eller(R),38.0,"108,956",Bennie Thompson(D),62.0,"177,885",Brian Flowers(R),39.9,"71,884",,,,Brian Flowers(R),34.0,"101,010",Bennie Thompson(D),66.0,"196,224",,,,Bennie Thompson(D),71.8,"158,921",Bennie ThompsonIncumbent,67.1%,"192,343",Bennie ThompsonIncumbent,67.1%,"214,978",Bennie Thompson(D),60.1,"108,285",,,,,,,Troy Ray,24.5%,"36,465",,,,,,,Troy Ray,2.4%,"6,918",,,,,,,,,,,,,,,,Cobby Williams,1.4%,"4,605",,,,,,,,,,,,,,,,Troy Ray(Independent),21.7,"48,104",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,3,https://ballotpedia.org/Mississippi's_3rd_Congressional_District,Gregg HarperIncumbent,66.2%,"209,490",Gregg HarperIncumbent,68.9%,"117,771",Doug Magee,27.9%,"47,744",Gregg HarperIncumbent,80%,"234,717",Michael Guest(R),100.0,"265,159",,,,Michael Guest(R),70.7,"132,481",,,,Michael Guest(R),64.7,"221,064",Dorothy Benford(D),35.3,"120,782",Michael Guest(R),62.3,"160,284",Michael Evans(D),36.7,"94,461",Dennis Quinn,30.4%,"96,101",,,,Shuwaski Young(D),29.3,"54,803",,,,,,,Roger Gerrard,2.3%,"3,890",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,4,https://ballotpedia.org/Mississippi's_4th_Congressional_District,Steven PalazzoIncumbent,65%,"181,323",Steven PalazzoIncumbent,69.9%,"108,776",Matt Moore,24.3%,"37,869",Steven PalazzoIncumbent,64.1%,"182,998",Mike Ezell(R),73.9,"215,095",Craig Raybon(D),26.1,"75,771",Mike Ezell(R),73.3,"127,813",Alden Johnson(L),2.0,"3,569",Steven Palazzo(R),100.0,"255,971",,,,Steven Palazzo(R),68.2,"152,633",Jeramey Anderson(D),30.7,"68,787",Mark Gladney,27.8%,"77,505",Matthew Moore,28.8%,"82,344",Johnny DuPree(D),24.6,"42,876",,,,,,,Ed Reich,0.6%,857,,,,Richard Blake McCluskey,5.3%,"14,687",,,,Joey Robinson,2.2%,"3,473",Ron Williams,0.7%,"2,108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1,https://ballotpedia.org/Missouri's_1st_Congressional_District,Steven Bailey,20%,"62,714",Daniel Elder,21.6%,"35,273",William Lacy ClayIncumbent,73%,"119,315",Robyn Hamlin,17.9%,"60,832",Andrew Jones Jr.(R),18.4,"56,453",Wesley Bell(D),75.9,"233,312",Andrew Jones Jr.(R),24.3,"53,767",George Zsidisin(L),2.8,"6,192",Anthony Rogers(R),19.0,"59,940",Cori Bush(D),78.8,"249,087",Robert Vroman(R),16.7,"45,867",William Lacy Clay(D),80.1,"219,781",William Lacy ClayIncumbent,75.5%,"236,993",William Lacy ClayIncumbent,78.7%,"267,927",Cori Bush(D),72.9,"160,999",Alex Furman(L),2.1,"6,766",,,,,,,Martin Baker(Independent) (Write-in),0.1,378,Robb Cunningham,4.6%,"14,317",,,,Robb E. Cunningham,5.4%,"8,906",Robb E. Cunningham,3.5%,"11,824",,,,,,,Don Fitz(G),1.7,"5,151",,,,,,,,,,Rochelle Riggins(L),3.3,"10,070",Robb Cunningham(L),3.2,"8,727",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,2,https://ballotpedia.org/Missouri's_2nd_Congressional_District,Ann WagnerIncumbent,58.5%,"241,954",Ann WagnerIncumbent,64.1%,"148,191",Arthur Lieber,32.6%,"75,384",Ann Wagner,60.1%,"236,971",Ann Wagner(R),54.5,"233,444",Ray Hartmann(D),42.5,"182,056",Ann Wagner(R),54.9,"173,277",Bill Slantz(L),2.1,"6,494",Ann Wagner(R),51.9,"233,157",Jill Schupp(D),45.5,"204,540",Ann Wagner(R),51.2,"192,477",Cort VanOstran(D),47.2,"177,611",Bill Otto,37.7%,"155,689",Glenn Koenen,37.1%,"146,272",Trish Gunby(D),43.1,"135,895",Martin Schulte(L),2.6,"11,647",,,,,,,Gina Bufe(Independent) (Write-in),0.0,4,Jim Higgins,2.8%,"11,758",,,,Bill Slantz,3.3%,"7,542",Bill Slantz,2.3%,"9,193",David Arnold,0.9%,"3,895",,,,Shelby Davis(G),0.9,"3,941",,,,David Justus Arnold(G),0.5,"1,740",,,,Brandon Daugherty(L),2.1,"8,951",Larry Kirk(L),1.1,"4,229",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,3,https://ballotpedia.org/Missouri's_3rd_Congressional_District,Blaine LuetkemeyerIncumbent,67.8%,"249,865",Blaine LuetkemeyerIncumbent,68.3%,"130,940",Courtney Denton,27.1%,"52,021",Blaine LuetkemeyerIncumbent,63.5%,"214,843",Bob Onder(R),61.3,"240,620",Bethany Mann(D),35.3,"138,532",Blaine Luetkemeyer(R),65.1,"180,746",,,,Blaine Luetkemeyer(R),69.4,"282,866",Megan Rezabek(D),28.5,"116,095",Blaine Luetkemeyer(R),65.1,"211,243",Katy Geppert(D),32.8,"106,589",Kevin Miller,27.9%,"102,891",Eric C. Mayer,32.9%,"111,189",Bethany Mann(D),34.9,"96,851",Leonard Steinman II(L),2.0,"8,344",Thomas Clapp(Independent) (Write-in),0.0,0,,,,Thomas Clapp(Independent) (Write-in),0.0,43,Dan Hogan,3.2%,"11,962",,,,Steven Hedrick,4.5%,"8,593",Steven Wilson,3.7%,"12,353",,,,,,,William Hastings(G),1.0,"4,013",,,,,,,,,,Jordan Rowden(L),2.4,"9,298",Donald Stolle(L),2.1,"6,776",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,4,https://ballotpedia.org/Missouri's_4th_Congressional_District,Vicky HartzlerIncumbent,67.8%,"225,348",Vicky HartzlerIncumbent,68.1%,"120,014",Nate Irvin,26.4%,"46,464",Vicky HartzlerIncumbent,60.3%,"192,237",Mark Alford(R),71.1,"259,886",Jeanette Cass(D),26.4,"96,568",Mark Alford(R),71.3,"181,890",Randy Langkraehr(L),2.4,"6,117",Vicky Hartzler(R),67.6,"245,247",Lindsey Simmons(D),29.7,"107,635",Vicky Hartzler(R),64.8,"190,138",Renee Hoagenson(D),32.7,"95,968",Gordon Christensen,27.8%,"92,510",Teresa Hensley,35.5%,"113,120",Jack Truman(D),26.3,"67,069",Steven Koonse(L),2.7,"9,954",Wyatt Parsons(Independent) (Write-in),0.0,1,,,,,,,Mark Bliss,4.3%,"14,376",,,,Herschel Young,5.6%,"9,793",Thomas Holbrook,3.3%,"10,407",,,,David Haave(Independent) (Write-in),0.0,2,,,,,,,,,,,,,Thomas Holbrook(L),2.5,"9,240",Mark Bliss(L),2.5,"7,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,5,https://ballotpedia.org/Missouri's_5th_Congressional_District,Jacob Turk,38.2%,"123,771",Jacob Turk,45%,"69,071",Emanuel CleaverIncumbent,51.6%,"79,256",Jacob Turk,36.9%,"122,149",Sean Smith(R),36.4,"120,957",Emanuel Cleaver(D),60.2,"199,900",Jacob Turk(R),36.4,"84,008",Robin Dominick(L),2.5,"5,859",Ryan Derks(R),38.6,"135,934",Emanuel Cleaver(D),58.8,"207,180",Jacob Turk(R),35.6,"101,069",Emanuel Cleaver(D),61.7,"175,019",Emanuel CleaverIncumbent,58.8%,"190,766",Emanuel CleaverIncumbent,60.5%,"200,290",Emanuel Cleaver(D),61.0,"140,688",Robin Dominick(L),2.6,"9,272",,,,,,,Billy Ballard(Independent) (Write-in),0.0,1,Roy Welborn,3%,"9,733",,,,Roy Welborn,3.5%,"5,308",Randy Langkraehr,2.6%,"8,497",,,,,,,Michael Day(G),1.3,"4,414",,,,Maurice Copeland(G),0.7,"2,091",,,,Bill Wayne(L),2.0,"6,658",Alexander Howell(L),1.7,"4,725",,,,,,,,,,Antwain Winters(G) (Write-in),0.0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,6,https://ballotpedia.org/Missouri's_6th_Congressional_District,Sam GravesIncumbent,68%,"238,388",Sam GravesIncumbent,66.7%,"124,616",Bill Hedge,29.5%,"55,157",Sam GravesIncumbent,65%,"216,906",Sam Graves(R),70.7,"265,210",Pam May(D),26.9,"100,999",Sam Graves(R),70.3,"184,865",Andy Maidment(L),2.2,"5,774",Sam Graves(R),67.1,"258,709",Gena Ross(D),30.8,"118,926",Sam Graves(R),65.4,"199,796",Henry Martin(D),32.0,"97,660",David Blackwell,28.4%,"99,692",Kyle Yarber,32.5%,"108,503",Henry Martin(D),27.5,"72,253",Jim Higgins(L),2.1,"8,144",,,,,,,,,,Russ Monchil,2.3%,"8,123",,,,Russ Monchil,3.8%,"7,197",Russ Lee Monchil,2.5%,"8,279",Mike Diel,1.2%,"4,241",,,,Mike Diel(G),0.8,"3,058",,,,,,,,,,Andy Maidment(L),1.6,"5,919",Dan Hogan(L),2.6,"7,953",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,7,https://ballotpedia.org/Missouri's_7th_Congressional_District,Billy LongIncumbent,67.5%,"228,692",Billy LongIncumbent,63.5%,"104,054",Jim Evans,28.8%,"47,282",Billy LongIncumbent,63.9%,"203,565",Eric Burlison(R),71.6,"263,231",Missi Hesketh(D),26.3,"96,655",Eric Burlison(R),70.9,"178,592",Kevin Craig(L),2.3,"5,869",Billy Long(R),68.9,"254,318",Teresa Montseny(D)(Unofficially withdrew),26.6,"98,111",Billy Long(R),66.2,"196,343",Jamie Schoolcraft(D),30.1,"89,190",Genevieve Williams,27.4%,"92,756",Jim Evans,30.9%,"98,498",Kristen Radaker-Sheafer(D),26.8,"67,485",Kevin Craig(L),4.2,"15,573",Roger Rekate(Independent) (Write-in),0.0,1,,,,Dennis Davis(Independent) (Write-in),0.0,2,Benjamin Brixey,5.1%,"17,153",,,,Kevin Craig,7.7%,"12,584",Kevin Craig,5.2%,"16,668",,,,,,,,,,,,,,,,,,,Kevin Craig(L),2.2,"7,982",Benjamin Brixey(L),3.7,"10,920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
